Date,Mark/Gold
1920-05-23,9.082652134423252
1920-05-24,9.082652134423252
1920-05-25,9.082652134423252
1920-05-26,9.082652134423252
1920-05-27,9.082652134423252
1920-05-28,9.082652134423252
1920-05-29,9.082652134423252
1920-05-30,9.082652134423252
1920-05-31,9.082652134423252
1920-06-01,9.689922480620154
1920-06-02,9.689922480620154
1920-06-03,9.689922480620154
1920-06-04,9.689922480620154
1920-06-05,9.689922480620154
1920-06-06,9.689922480620154
1920-06-07,9.689922480620154
1920-06-08,9.689922480620154
1920-06-09,9.689922480620154
1920-06-10,9.689922480620154
1920-06-11,9.398496240601503
1920-06-12,9.398496240601503
1920-06-13,9.398496240601503
1920-06-14,9.398496240601503
1920-06-15,9.398496240601503
1920-06-16,9.398496240601503
1920-06-17,9.398496240601503
1920-06-18,9.398496240601503
1920-06-19,9.398496240601503
1920-06-20,9.398496240601503
1920-06-21,8.936550491510278
1920-06-22,8.936550491510278
1920-06-23,8.936550491510278
1920-06-24,8.936550491510278
1920-06-25,8.936550491510278
1920-06-26,8.936550491510278
1920-06-27,8.936550491510278
1920-06-28,8.936550491510278
1920-06-29,8.936550491510278
1920-06-30,8.936550491510278
1920-07-01,9.00900900900901
1920-07-02,9.00900900900901
1920-07-03,9.00900900900901
1920-07-04,9.00900900900901
1920-07-05,9.00900900900901
1920-07-06,9.00900900900901
1920-07-07,9.00900900900901
1920-07-08,9.00900900900901
1920-07-09,9.00900900900901
1920-07-10,9.00900900900901
1920-07-11,9.165902841429881
1920-07-12,9.165902841429881
1920-07-13,9.165902841429881
1920-07-14,9.165902841429881
1920-07-15,9.165902841429881
1920-07-16,9.165902841429881
1920-07-17,9.165902841429881
1920-07-18,9.165902841429881
1920-07-19,9.165902841429881
1920-07-20,9.165902841429881
1920-07-21,9.950248756218905
1920-07-22,9.950248756218905
1920-07-23,9.950248756218905
1920-07-24,9.950248756218905
1920-07-25,9.950248756218905
1920-07-26,9.950248756218905
1920-07-27,9.950248756218905
1920-07-28,9.950248756218905
1920-07-29,9.950248756218905
1920-07-30,9.950248756218905
1920-07-31,9.950248756218905
1920-08-01,10.834236186348862
1920-08-02,10.834236186348862
1920-08-03,10.834236186348862
1920-08-04,10.834236186348862
1920-08-05,10.834236186348862
1920-08-06,10.834236186348862
1920-08-07,10.834236186348862
1920-08-08,10.834236186348862
1920-08-09,10.834236186348862
1920-08-10,10.834236186348862
1920-08-11,11.325028312570781
1920-08-12,11.325028312570781
1920-08-13,11.325028312570781
1920-08-14,11.325028312570781
1920-08-15,11.325028312570781
1920-08-16,11.325028312570781
1920-08-17,11.325028312570781
1920-08-18,11.325028312570781
1920-08-19,11.325028312570781
1920-08-20,11.325028312570781
1920-08-21,11.904761904761905
1920-08-22,11.904761904761905
1920-08-23,11.904761904761905
1920-08-24,11.904761904761905
1920-08-25,11.904761904761905
